"campaign_type","class_of_mail","days_to_response","n","mean_daily_resp_rate","mean_pct_resp","n_daily_resp","mean_cum_rr"
"latest inquiry","1st",64,239,3.71611498448822e-05,0.00165543093305439,58.0261650654226,0.944867178029289
"latest inquiry","1st",65,239,4.90962920261679e-05,0.00165500016317992,58.0110657197824,0.946522178192469
"latest inquiry","1st",66,239,6.80765066135786e-05,0.00232637776569038,81.5441934429791,0.948848555958159
"latest inquiry","1st",67,239,4.79692014131549e-05,0.001393428958159,48.8424718413891,0.950241984916318
"latest inquiry","1st",68,239,7.22244262124312e-05,0.00237989065271967,83.4199271591297,0.952621875569038
"latest inquiry","1st",69,239,0.000142324351594334,0.00443196025523013,155.349070866326,0.957053835824268
"latest inquiry","1st",70,239,0.000118987205204788,0.00411829189539749,144.354367517473,0.961172127719665
"latest inquiry","1st",71,239,4.38792220923122e-05,0.00178394328033473,62.5307798622929,0.962956071
"latest inquiry","1st",72,239,2.71559812265532e-05,0.000860580778242678,30.1650774389623,0.963816651778243
"latest inquiry","1st",73,239,9.49134209514554e-05,0.00284027979079498,99.5574872269456,0.966656931569038
"latest inquiry","1st",74,239,5.68726166137164e-05,0.00176413680334728,61.8365232309289,0.968421068372385
"latest inquiry","1st",75,239,7.63339759597882e-05,0.00294850705857741,103.351069417255,0.971369575430962
"latest inquiry","1st",76,239,0.000106484182814669,0.00377656074895397,132.376007372335,0.975146136179916
"latest inquiry","1st",77,239,3.46933888636723e-05,0.00114438886610879,40.1131185348452,0.976290525046025
"latest inquiry","1st",78,239,5.41153784312381e-05,0.00159668358158996,55.9669529018912,0.977887208627615
"latest inquiry","1st",79,239,7.65631567470327e-05,0.00266538816736402,93.4271860424435,0.980552596794979
"latest inquiry","1st",80,239,7.11110477887447e-05,0.00213860864435146,74.9625102018075,0.982691205439331
"latest inquiry","1st",81,239,2.40482320601003e-05,0.000814670079497908,28.5558156265607,0.983505875518828
"latest inquiry","1st",82,239,1.98098040441157e-05,0.000664359606694561,23.2871329338577,0.984170235125523
"latest inquiry","1st",83,239,5.71130148144546e-05,0.00196345081589958,68.8228779989121,0.986133685941423
"latest inquiry","1st",84,239,0.000139305692069003,0.00551597064435146,193.345803025808,0.991649656585774
"latest inquiry","1st",85,239,2.90608827812307e-05,0.000951902334728034,33.366080636887,0.992601558920502
"latest inquiry","1st",86,239,1.68549501450156e-05,0.000559162351464435,19.5997587435314,0.993160721271967
"latest inquiry","1st",87,239,8.59303462863194e-05,0.00267507550627615,93.7667466459916,0.995835796778243
"latest inquiry","1st",88,239,2.23882020845244e-05,0.000766647669456067,26.8725341097741,0.996602444447699
"latest inquiry","1st",89,239,5.35078782104756e-05,0.0017999670376569,63.0924446039498,0.998402411485356
